district,date,population,wbgt_max,predicted_admissions,ImpactTier
Anugul,2026-08-30,1067275,27.6,97.8,Yellow
Anugul,2026-08-31,1067275,27.7,103.5,Yellow
Anugul,2026-09-01,1067275,25.9,89.7,Yellow
Anugul,2026-09-02,1067275,27.4,93.9,Yellow
Anugul,2026-09-03,1067275,26.2,88.3,Yellow
Balangir,2026-08-30,1451616,25.4,81.9,Green
Balangir,2026-08-31,1451616,25.3,80.4,Green
Balangir,2026-09-01,1451616,24.5,83.3,Green
Balangir,2026-09-02,1451616,25.0,81.3,Green
Balangir,2026-09-03,1451616,25.5,84.8,Green
Baleshwar,2026-08-30,2211609,28.6,367.1,Yellow
Baleshwar,2026-08-31,2211609,29.1,382.0,Yellow
Baleshwar,2026-09-01,2211609,28.3,367.4,Yellow
Baleshwar,2026-09-02,2211609,28.9,387.1,Yellow
Baleshwar,2026-09-03,2211609,28.2,360.4,Yellow
Bargarh,2026-08-30,1331145,27.0,77.5,Green
Bargarh,2026-08-31,1331145,25.8,78.9,Green
Bargarh,2026-09-01,1331145,24.2,76.3,Green
Bargarh,2026-09-02,1331145,24.3,79.1,Green
Bargarh,2026-09-03,1331145,24.5,76.0,Green
Baudh,2026-08-30,420738,26.2,24.7,Green
Baudh,2026-08-31,420738,25.0,24.0,Green
Baudh,2026-09-01,420738,24.3,24.4,Green
Baudh,2026-09-02,420738,26.0,24.7,Green
Baudh,2026-09-03,420738,25.8,26.6,Green
Bhadrak,2026-08-30,1427962,27.8,194.3,Yellow
Bhadrak,2026-08-31,1427962,28.6,207.7,Yellow
Bhadrak,2026-09-01,1427962,28.2,208.2,Yellow
Bhadrak,2026-09-02,1427962,28.8,233.6,Yellow
Bhadrak,2026-09-03,1427962,27.8,214.1,Yellow
Cuttack,2026-08-30,2547409,27.8,288.8,Yellow
Cuttack,2026-08-31,2547409,27.7,288.3,Yellow
Cuttack,2026-09-01,2547409,26.7,256.9,Yellow
Cuttack,2026-09-02,2547409,28.7,304.5,Yellow
Cuttack,2026-09-03,2547409,27.7,292.4,Yellow
Debagarh,2026-08-30,290130,27.7,23.6,Yellow
Debagarh,2026-08-31,290130,27.5,25.4,Yellow
Debagarh,2026-09-01,290130,26.5,23.7,Yellow
Debagarh,2026-09-02,290130,25.9,21.8,Yellow
Debagarh,2026-09-03,290130,25.3,19.6,Green
Dhenkanal,2026-08-30,1075305,27.5,111.9,Yellow
Dhenkanal,2026-08-31,1075305,28.0,118.3,Yellow
Dhenkanal,2026-09-01,1075305,26.6,103.5,Yellow
Dhenkanal,2026-09-02,1075305,28.6,118.6,Yellow
Dhenkanal,2026-09-03,1075305,27.1,110.4,Yellow
Gajapati,2026-08-30,507151,20.9,29.6,Green
Gajapati,2026-08-31,507151,20.6,30.6,Green
Gajapati,2026-09-01,507151,21.1,30.1,Green
Gajapati,2026-09-02,507151,21.4,29.8,Green
Gajapati,2026-09-03,507151,21.6,30.2,Green
Ganjam,2026-08-30,3116853,27.1,268.4,Yellow
Ganjam,2026-08-31,3116853,26.2,241.0,Yellow
Ganjam,2026-09-01,3116853,27.0,252.9,Yellow
Ganjam,2026-09-02,3116853,27.4,276.4,Yellow
Ganjam,2026-09-03,3116853,27.6,305.0,Yellow
Jagatsinghapur,2026-08-30,1020991,28.1,136.9,Yellow
Jagatsinghapur,2026-08-31,1020991,27.9,131.1,Yellow
Jagatsinghapur,2026-09-01,1020991,27.9,131.2,Yellow
Jagatsinghapur,2026-09-02,1020991,29.2,159.1,Yellow
Jagatsinghapur,2026-09-03,1020991,28.1,149.3,Yellow
Jajapur,2026-08-30,1692095,27.8,232.1,Yellow
Jajapur,2026-08-31,1692095,28.8,259.9,Yellow
Jajapur,2026-09-01,1692095,27.3,240.1,Yellow
Jajapur,2026-09-02,1692095,28.8,260.1,Yellow
Jajapur,2026-09-03,1692095,27.8,256.3,Yellow
Jharsuguda,2026-08-30,348340,27.9,29.2,Yellow
Jharsuguda,2026-08-31,348340,27.9,34.0,Yellow
Jharsuguda,2026-09-01,348340,26.5,30.2,Yellow
Jharsuguda,2026-09-02,348340,26.4,28.0,Yellow
Jharsuguda,2026-09-03,348340,24.3,23.8,Green
Kalahandi,2026-08-30,1454882,25.0,84.1,Green
Kalahandi,2026-08-31,1454882,24.9,85.7,Green
Kalahandi,2026-09-01,1454882,25.4,86.4,Green
Kalahandi,2026-09-02,1454882,25.3,88.4,Green
Kalahandi,2026-09-03,1454882,25.6,88.7,Green
Kandhamal,2026-08-30,660831,23.1,40.9,Green
Kandhamal,2026-08-31,660831,22.7,39.7,Green
Kandhamal,2026-09-01,660831,22.9,40.3,Green
Kandhamal,2026-09-02,660831,23.8,40.5,Green
Kandhamal,2026-09-03,660831,24.0,37.8,Green
Kendrapara,2026-08-30,1356827,27.5,161.3,Yellow
Kendrapara,2026-08-31,1356827,28.7,180.3,Yellow
Kendrapara,2026-09-01,1356827,27.2,161.8,Yellow
Kendrapara,2026-09-02,1356827,29.0,189.6,Yellow
Kendrapara,2026-09-03,1356827,28.2,188.8,Yellow
Kendujhar,2026-08-30,1548674,27.2,125.3,Yellow
Kendujhar,2026-08-31,1548674,27.4,135.7,Yellow
Kendujhar,2026-09-01,1548674,27.3,140.0,Yellow
Kendujhar,2026-09-02,1548674,26.2,128.1,Yellow
Kendujhar,2026-09-03,1548674,24.7,111.4,Yellow
Khordha,2026-08-30,2049345,27.7,246.6,Yellow
Khordha,2026-08-31,2049345,27.1,224.8,Yellow
Khordha,2026-09-01,2049345,27.3,215.4,Yellow
Khordha,2026-09-02,2049345,28.8,254.3,Yellow
