district,WBGT_celsius,temperature_c,dewpoint_c,wind_speed_ms,data_source,period
Angul,25.01,25.8,24.15,2.16,GEE_ERA5_LAND,2026-09-10_to_2026-09-17
Balasore,26.14,26.89,25.08,3.57,GEE_ERA5_LAND,2026-09-10_to_2026-09-17
Bargarh,25.23,26.21,24.23,2.25,GEE_ERA5_LAND,2026-09-10_to_2026-09-17
Bhadrak,26.27,27.15,25.21,3.71,GEE_ERA5_LAND,2026-09-10_to_2026-09-17
Balangir,24.99,25.83,24.14,1.7,GEE_ERA5_LAND,2026-09-10_to_2026-09-17
Boudh,24.9,25.57,24.18,1.5,GEE_ERA5_LAND,2026-09-10_to_2026-09-17
Cuttack,25.6,26.35,24.78,2.45,GEE_ERA5_LAND,2026-09-10_to_2026-09-17
Deogarh,25.03,25.85,24.04,2.2,GEE_ERA5_LAND,2026-09-10_to_2026-09-17
Dhenkanal,25.37,26.18,24.52,2.45,GEE_ERA5_LAND,2026-09-10_to_2026-09-17
Gajapati,23.33,23.89,22.82,1.08,GEE_ERA5_LAND,2026-09-10_to_2026-09-17
Ganjam,24.89,25.61,24.28,1.48,GEE_ERA5_LAND,2026-09-10_to_2026-09-17
Jagatsinghpur,26.28,27.01,25.34,3.1,GEE_ERA5_LAND,2026-09-10_to_2026-09-17
Jajpur,25.77,26.64,24.82,2.69,GEE_ERA5_LAND,2026-09-10_to_2026-09-17
Jharsuguda,25.31,26.38,24.13,2.61,GEE_ERA5_LAND,2026-09-10_to_2026-09-17
Kalahandi,24.14,24.79,23.44,1.49,GEE_ERA5_LAND,2026-09-10_to_2026-09-17
Kandhamal,23.04,23.51,22.49,1.5,GEE_ERA5_LAND,2026-09-10_to_2026-09-17
Kendrapara,26.27,27.14,25.19,3.18,GEE_ERA5_LAND,2026-09-10_to_2026-09-17
Keonjhar,24.37,24.99,23.52,2.52,GEE_ERA5_LAND,2026-09-10_to_2026-09-17
Khordha,25.63,26.41,24.87,2.51,GEE_ERA5_LAND,2026-09-10_to_2026-09-17
Koraput,22.05,22.7,21.5,2.3,GEE_ERA5_LAND,2026-09-10_to_2026-09-17
Malkangiri,24.4,25.16,23.51,1.22,GEE_ERA5_LAND,2026-09-10_to_2026-09-17
Mayurbhanj,24.77,25.29,23.93,2.43,GEE_ERA5_LAND,2026-09-10_to_2026-09-17
Nabarangpur,23.13,23.99,22.37,2.1,GEE_ERA5_LAND,2026-09-10_to_2026-09-17
Nayagarh,24.91,25.63,24.24,1.94,GEE_ERA5_LAND,2026-09-10_to_2026-09-17
Nuapada,24.57,25.49,23.62,1.93,GEE_ERA5_LAND,2026-09-10_to_2026-09-17
Puri,26.0,26.89,25.14,3.29,GEE_ERA5_LAND,2026-09-10_to_2026-09-17
Rayagada,23.39,23.98,22.84,1.43,GEE_ERA5_LAND,2026-09-10_to_2026-09-17
Sambalpur,25.04,25.87,24.04,2.23,GEE_ERA5_LAND,2026-09-10_to_2026-09-17
Subarnapur,25.38,26.22,24.54,1.75,GEE_ERA5_LAND,2026-09-10_to_2026-09-17
Sundargarh,24.81,25.73,23.69,2.58,GEE_ERA5_LAND,2026-09-10_to_2026-09-17
