ward_no,ward_name,requested_latitude,requested_longitude,era5_grid_latitude,era5_grid_longitude
unknown,unknown,20.327133162303753,85.83049604840929,20.25,85.75
unknown,unknown,20.292507478146238,85.80721151889458,20.25,85.75
unknown,unknown,20.268163288530815,85.80614663662465,20.25,85.75
unknown,unknown,20.251335516414272,85.84259371169182,20.25,85.75
unknown,unknown,20.343523185058174,85.81561136932679,20.25,85.75
unknown,unknown,20.334990062256335,85.80159365515358,20.25,85.75
unknown,unknown,20.319966435131604,85.81496722841501,20.25,85.75
unknown,unknown,20.296814228062317,85.81908505626633,20.25,85.75
unknown,unknown,20.312211515493225,85.83319777018117,20.25,85.75
unknown,unknown,20.3108047315194,85.8423689180515,20.25,85.75
unknown,unknown,20.303573458066467,85.84193270422168,20.25,85.75
unknown,unknown,20.302088337745975,85.81530820854519,20.25,85.75
unknown,unknown,20.302525024960662,85.80989204359392,20.25,85.75
unknown,unknown,20.282687539846986,85.79131661846732,20.25,85.75
unknown,unknown,20.3037748285244,85.81762725404805,20.25,85.75
unknown,unknown,20.29056396790639,85.84761561838688,20.25,85.75
unknown,unknown,20.28178298608711,85.84946011443414,20.25,85.75
unknown,unknown,20.28929571708411,85.83732625247873,20.25,85.75
unknown,unknown,20.28246061192884,85.83855103317262,20.25,85.75
unknown,unknown,20.264435450395116,85.83159876954089,20.25,85.75
unknown,unknown,20.287723482880395,85.8292937503049,20.25,85.75
unknown,unknown,20.277539787194872,85.82846465701881,20.25,85.75
unknown,unknown,20.264325575811107,85.82189750831988,20.25,85.75
unknown,unknown,20.284015527121923,85.82195469469889,20.25,85.75
unknown,unknown,20.28399560574413,85.81417261882599,20.25,85.75
unknown,unknown,20.281833705340787,85.82141500641653,20.25,85.75
unknown,unknown,20.254995789758347,85.79444075659097,20.25,85.75
unknown,unknown,20.266451069049506,85.79985998432343,20.25,85.75
unknown,unknown,20.29181011412491,85.86405939446647,20.25,85.75
unknown,unknown,20.28579298938749,85.85618046850932,20.25,85.75
unknown,unknown,20.27592473257861,85.8554843225594,20.25,85.75
unknown,unknown,20.26806138120433,85.84991190686344,20.25,85.75
unknown,unknown,20.26570424103042,85.85232164236388,20.25,85.75
unknown,unknown,20.261038445002864,85.84725054642014,20.25,85.75
unknown,unknown,20.243633598801036,85.83239726138035,20.25,85.75
unknown,unknown,20.30383802256689,85.81426691526664,20.25,85.75
unknown,unknown,20.247930953219907,85.83543641943702,20.25,85.75
unknown,unknown,20.27058338496977,85.84387015685773,20.25,85.75
unknown,unknown,20.274110567696727,85.81630104458672,20.25,85.75
unknown,unknown,20.27618289498967,85.80743638567915,20.25,85.75
unknown,unknown,20.253016746410495,85.81916403197899,20.25,85.75
unknown,unknown,20.25331838692281,85.82967633036706,20.25,85.75
unknown,unknown,20.33938258865173,85.89260646065873,20.25,86.0
unknown,unknown,20.336013758962675,85.85937773136335,20.25,85.75
unknown,unknown,20.324340300349313,85.84968182982571,20.25,85.75
unknown,unknown,20.346510894131203,85.83958728518408,20.25,85.75
unknown,unknown,20.362965528271424,85.82682180239405,20.25,85.75
unknown,unknown,20.35444935295086,85.80966781240973,20.25,85.75
unknown,unknown,20.306245756448092,85.79812543305435,20.25,85.75
unknown,unknown,20.307905617750215,85.77384101358061,20.25,85.75
unknown,unknown,20.281057313400442,85.76341099775178,20.25,85.75
unknown,unknown,20.25441681357137,85.77619317460007,20.25,85.75
unknown,unknown,20.234916583282004,85.7873111062904,20.25,85.75
unknown,unknown,20.240894248938265,85.80410680024775,20.25,85.75
unknown,unknown,20.234701125523237,85.84693944495575,20.25,85.75
unknown,unknown,20.22139398017647,85.83524902318734,20.25,85.75
unknown,unknown,20.24567599630505,85.85269117795106,20.25,85.75
unknown,unknown,20.252537144279586,85.8645819785828,20.25,85.75
unknown,unknown,20.279615909917947,85.86953259650514,20.25,85.75
unknown,unknown,20.292191776438813,85.87574392078058,20.25,86.0
unknown,unknown,20.325686792073586,85.8037890045276,20.25,85.75
unknown,unknown,20.32445482327476,85.81427727046471,20.25,85.75
unknown,unknown,20.23835405086782,85.83329834896574,20.25,85.75
unknown,unknown,20.23599363739955,85.82452890636061,20.25,85.75
unknown,unknown,20.222057911959805,85.8153972330136,20.25,85.75
unknown,unknown,20.241720756730135,85.78170051394072,20.25,85.75
unknown,unknown,20.2409667661649,85.79792864694079,20.25,85.75
