State	District	Subdistt	Town/Village	Ward	EB	Level	Name	TRU	No_HH	TOT_P	TOT_M	TOT_F	P_06	M_06	F_06	P_SC	M_SC	F_SC	P_ST	M_ST	F_ST	P_LIT	M_LIT	F_LIT	P_ILL	M_ILL	F_ILL	TOT_WORK_P	TOT_WORK_M	TOT_WORK_F	MAINWORK_P	MAINWORK_M	MAINWORK_F	MAIN_CL_P	MAIN_CL_M	MAIN_CL_F	MAIN_AL_P	MAIN_AL_M	MAIN_AL_F	MAIN_HH_P	MAIN_HH_M	MAIN_HH_F	MAIN_OT_P	MAIN_OT_M	MAIN_OT_F	MARGWORK_P	MARGWORK_M	MARGWORK_F	MARG_CL_P	MARG_CL_M	MARG_CL_F	MARG_AL_P	MARG_AL_M	MARG_AL_F	MARG_HH_P	MARG_HH_M	MARG_HH_F	MARG_OT_P	MARG_OT_M	MARG_OT_F	MARGWORK_3_6_P	MARGWORK_3_6_M	MARGWORK_3_6_F	MARG_CL_3_6_P	MARG_CL_3_6_M	MARG_CL_3_6_F	MARG_AL_3_6_P	MARG_AL_3_6_M	MARG_AL_3_6_F	MARG_HH_3_6_P	MARG_HH_3_6_M	MARG_HH_3_6_F	MARG_OT_3_6_P	MARG_OT_3_6_M	MARG_OT_3_6_F	MARGWORK_0_3_P	MARGWORK_0_3_M	MARGWORK_0_3_F	MARG_CL_0_3_P	MARG_CL_0_3_M	MARG_CL_0_3_F	MARG_AL_0_3_P	MARG_AL_0_3_M	MARG_AL_0_3_F	MARG_HH_0_3_P	MARG_HH_0_3_M	MARG_HH_0_3_F	MARG_OT_0_3_P	MARG_OT_0_3_M	MARG_OT_0_3_F	NON_WORK_P	NON_WORK_M	NON_WORK_F
21	386	0	0	0	0	DISTRICT	Khordha 	Total	494212	2251673	1167137	1084536	237394	123879	113515	297472	151528	145944	115051	59094	55957	1749936	957515	792421	501737	209622	292115	792193	645880	146313	632625	543178	89447	79793	76265	3528	64072	54637	9435	29066	24378	4688	459694	387898	71796	159568	102702	56866	12869	9285	3584	52202	35197	17005	10405	5552	4853	84092	52668	31424	135643	88544	47099	10902	8092	2810	43313	30026	13287	8498	4734	3764	72930	45692	27238	23925	14158	9767	1967	1193	774	8889	5171	3718	1907	818	1089	11162	6976	4186	1459480	521257	938223
21	386	0	0	0	0	DISTRICT	Khordha 	Rural	247304	1167357	595809	571548	130977	68059	62918	189428	95784	93644	67798	33817	33981	859680	471689	387991	307677	124120	183557	399642	332526	67116	291625	261347	30278	76033	72996	3037	58094	49942	8152	11162	9580	1582	146336	128829	17507	108017	71179	36838	11423	8398	3025	48413	32666	15747	6589	3179	3410	41592	26936	14656	89558	60641	28917	9503	7245	2258	40419	28073	12346	5228	2655	2573	34408	22668	11740	18459	10538	7921	1920	1153	767	7994	4593	3401	1361	524	837	7184	4268	2916	767715	263283	504432
21	386	0	0	0	0	DISTRICT	Khordha 	Urban	246908	1084316	571328	512988	106417	55820	50597	108044	55744	52300	47253	25277	21976	890256	485826	404430	194060	85502	108558	392551	313354	79197	341000	281831	59169	3760	3269	491	5978	4695	1283	17904	14798	3106	313358	259069	54289	51551	31523	20028	1446	887	559	3789	2531	1258	3816	2373	1443	42500	25732	16768	46085	27903	18182	1399	847	552	2894	1953	941	3270	2079	1191	38522	23024	15498	5466	3620	1846	47	40	7	895	578	317	546	294	252	3978	2708	1270	691765	257974	433791
21	386	3034	0	0	0	SUB-DISTRICT	Bolagad 	Total	20808	90794	46868	43926	10208	5369	4839	7720	3889	3831	3492	1748	1744	68294	37791	30503	22500	9077	13423	31407	26876	4531	22001	20253	1748	5982	5778	204	6398	6023	375	827	697	130	8794	7755	1039	9406	6623	2783	902	675	227	5242	4047	1195	639	254	385	2623	1647	976	7169	5296	1873	678	523	155	4050	3273	777	473	201	272	1968	1299	669	2237	1327	910	224	152	72	1192	774	418	166	53	113	655	348	307	59387	19992	39395
21	386	3034	0	0	0	SUB-DISTRICT	Bolagad 	Rural	20808	90794	46868	43926	10208	5369	4839	7720	3889	3831	3492	1748	1744	68294	37791	30503	22500	9077	13423	31407	26876	4531	22001	20253	1748	5982	5778	204	6398	6023	375	827	697	130	8794	7755	1039	9406	6623	2783	902	675	227	5242	4047	1195	639	254	385	2623	1647	976	7169	5296	1873	678	523	155	4050	3273	777	473	201	272	1968	1299	669	2237	1327	910	224	152	72	1192	774	418	166	53	113	655	348	307	59387	19992	39395
21	386	3034	0	0	0	SUB-DISTRICT	Bolagad 	Urban	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	386	3034	406978	0	0	VILLAGE	Balasingh	Rural	57	213	109	104	26	14	12	0	0	0	0	0	0	164	90	74	49	19	30	78	58	20	47	44	3	26	25	1	9	9	0	1	1	0	11	9	2	31	14	17	16	4	12	9	7	2	0	0	0	6	3	3	30	14	16	15	4	11	9	7	2	0	0	0	6	3	3	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	135	51	84
21	386	3034	406979	0	0	VILLAGE	Singhapur	Rural	109	396	199	197	42	20	22	78	37	41	0	0	0	272	150	122	124	49	75	114	108	6	94	92	2	26	26	0	42	42	0	0	0	0	26	24	2	20	16	4	1	1	0	13	12	1	0	0	0	6	3	3	19	16	3	1	1	0	13	12	1	0	0	0	5	3	2	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	282	91	191
21	386	3034	406980	0	0	VILLAGE	Balasinghpatana	Rural	97	433	242	191	59	34	25	100	58	42	0	0	0	340	195	145	93	47	46	148	136	12	65	55	10	19	19	0	23	23	0	0	0	0	23	13	10	83	81	2	0	0	0	80	78	2	0	0	0	3	3	0	82	81	1	0	0	0	79	78	1	0	0	0	3	3	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	285	106	179
21	386	3034	406981	0	0	VILLAGE	Pallibalasingh	Rural	18	80	43	37	19	12	7	37	18	19	0	0	0	49	29	20	31	14	17	26	21	5	10	5	5	0	0	0	0	0	0	0	0	0	10	5	5	16	16	0	1	1	0	15	15	0	0	0	0	0	0	0	16	16	0	1	1	0	15	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	22	32
21	386	3034	406982	0	0	VILLAGE	Swapneswarpur	Rural	111	498	271	227	58	33	25	103	60	43	0	0	0	386	230	156	112	41	71	160	152	8	132	127	5	100	98	2	1	1	0	19	18	1	12	10	2	28	25	3	16	14	2	2	2	0	7	6	1	3	3	0	4	4	0	2	2	0	1	1	0	0	0	0	1	1	0	24	21	3	14	12	2	1	1	0	7	6	1	2	2	0	338	119	219
21	386	3034	406983	0	0	VILLAGE	Kharadapalli	Rural	271	1141	601	540	134	78	56	139	72	67	423	222	201	729	447	282	412	154	258	395	339	56	315	302	13	145	144	1	143	138	5	1	0	1	26	20	6	80	37	43	0	0	0	79	36	43	1	1	0	0	0	0	64	35	29	0	0	0	64	35	29	0	0	0	0	0	0	16	2	14	0	0	0	15	1	14	1	1	0	0	0	0	746	262	484
21	386	3034	406984	0	0	VILLAGE	Patapursasan	Rural	62	294	147	147	31	12	19	0	0	0	0	0	0	249	132	117	45	15	30	84	74	10	49	42	7	19	18	1	0	0	0	19	17	2	11	7	4	35	32	3	20	19	1	3	3	0	5	4	1	7	6	1	17	15	2	7	7	0	2	2	0	1	0	1	7	6	1	18	17	1	13	12	1	1	1	0	4	4	0	0	0	0	210	73	137
21	386	3034	406985	0	0	VILLAGE	Patapur 	Rural	32	126	61	65	23	10	13	0	0	0	126	61	65	80	44	36	46	17	29	59	33	26	34	33	1	3	3	0	30	29	1	0	0	0	1	1	0	25	0	25	0	0	0	25	0	25	0	0	0	0	0	0	7	0	7	0	0	0	7	0	7	0	0	0	0	0	0	18	0	18	0	0	0	18	0	18	0	0	0	0	0	0	67	28	39
21	386	3034	406986	0	0	VILLAGE	Srirampur	Rural	251	1163	598	565	138	69	69	192	98	94	283	146	137	814	445	369	349	153	196	511	354	157	334	311	23	64	64	0	173	166	7	50	42	8	47	39	8	177	43	134	1	1	0	162	38	124	12	2	10	2	2	0	19	7	12	1	1	0	5	3	2	11	1	10	2	2	0	158	36	122	0	0	0	157	35	122	1	1	0	0	0	0	652	244	408
21	386	3034	406987	0	0	VILLAGE	Sananayapalli	Rural	85	355	185	170	37	16	21	0	0	0	0	0	0	271	155	116	84	30	54	111	105	6	97	93	4	43	43	0	39	38	1	2	1	1	13	11	2	14	12	2	0	0	0	14	12	2	0	0	0	0	0	0	9	9	0	0	0	0	9	9	0	0	0	0	0	0	0	5	3	2	0	0	0	5	3	2	0	0	0	0	0	0	244	80	164
21	386	3034	406988	0	0	VILLAGE	Kaduapada	Rural	209	872	437	435	109	53	56	42	25	17	335	164	171	652	354	298	220	83	137	536	295	241	58	48	10	23	23	0	3	3	0	7	4	3	25	18	7	478	247	231	68	64	4	301	163	138	23	3	20	86	17	69	459	242	217	66	62	4	287	160	127	21	3	18	85	17	68	19	5	14	2	2	0	14	3	11	2	0	2	1	0	1	336	142	194
21	386	3034	406989	0	0	VILLAGE	Kaduapadapatana	Rural	64	270	131	139	33	16	17	28	14	14	25	12	13	199	101	98	71	30	41	102	81	21	28	24	4	6	6	0	0	0	0	0	0	0	22	18	4	74	57	17	34	30	4	15	11	4	6	0	6	19	16	3	64	52	12	28	27	1	15	11	4	4	0	4	17	14	3	10	5	5	6	3	3	0	0	0	2	0	2	2	2	0	168	50	118
21	386	3034	406990	0	0	VILLAGE	Giridharipur	Rural	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
21	386	3034	406991	0	0	VILLAGE	Bhabanipur	Rural	335	1463	720	743	159	75	84	372	174	198	352	180	172	1011	545	466	452	175	277	547	394	153	336	314	22	98	97	1	100	97	3	14	13	1	124	107	17	211	80	131	15	11	4	137	51	86	24	5	19	35	13	22	83	49	34	7	6	1	60	33	27	6	3	3	10	7	3	128	31	97	8	5	3	77	18	59	18	2	16	25	6	19	916	326	590
21	386	3034	406992	0	0	VILLAGE	Sankarpur	Rural	138	669	345	324	101	56	45	5	3	2	0	0	0	509	272	237	160	73	87	306	207	99	210	178	32	48	48	0	50	41	9	34	19	15	78	70	8	96	29	67	15	13	2	18	7	11	30	6	24	33	3	30	38	21	17	11	10	1	8	6	2	14	3	11	5	2	3	58	8	50	4	3	1	10	1	9	16	3	13	28	1	27	363	138	225
21	386	3034	406993	0	0	VILLAGE	Arikama	Rural	190	807	412	395	87	47	40	160	81	79	0	0	0	629	343	286	178	69	109	273	235	38	227	212	15	52	52	0	85	85	0	4	2	2	86	73	13	46	23	23	4	4	0	10	10	0	1	0	1	31	9	22	19	16	3	2	2	0	8	8	0	0	0	0	9	6	3	27	7	20	2	2	0	2	2	0	1	0	1	22	3	19	534	177	357
21	386	3034	406994	0	0	VILLAGE	Sagarguan	Rural	334	1391	712	679	146	81	65	60	32	28	6	3	3	1097	595	502	294	117	177	434	406	28	412	394	18	74	74	0	165	163	2	17	17	0	156	140	16	22	12	10	2	2	0	4	4	0	8	2	6	8	4	4	14	8	6	1	1	0	2	2	0	6	2	4	5	3	2	8	4	4	1	1	0	2	2	0	2	0	2	3	1	2	957	306	651
21	386	3034	406995	0	0	VILLAGE	Sagarguanpatana	Rural	67	314	161	153	36	15	21	32	16	16	0	0	0	231	131	100	83	30	53	93	84	9	92	84	8	51	50	1	10	10	0	0	0	0	31	24	7	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	221	77	144
21	386	3034	406996	0	0	VILLAGE	Jagannathpur	Rural	73	271	145	126	41	19	22	20	5	15	0	0	0	200	117	83	71	28	43	82	80	2	60	58	2	20	19	1	22	22	0	0	0	0	18	17	1	22	22	0	2	2	0	20	20	0	0	0	0	0	0	0	16	16	0	1	1	0	15	15	0	0	0	0	0	0	0	6	6	0	1	1	0	5	5	0	0	0	0	0	0	0	189	65	124
21	386	3034	406997	0	0	VILLAGE	Haladipadapatana	Rural	107	468	255	213	40	21	19	89	50	39	0	0	0	338	196	142	130	59	71	170	161	9	160	154	6	103	103	0	27	27	0	1	1	0	29	23	6	10	7	3	0	0	0	7	6	1	0	0	0	3	1	2	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	9	7	2	0	0	0	6	6	0	0	0	0	3	1	2	298	94	204
21	386	3034	406998	0	0	VILLAGE	Godiali	Rural	291	1400	706	694	155	78	77	69	34	35	0	0	0	1055	577	478	345	129	216	400	383	17	354	340	14	20	19	1	273	266	7	6	6	0	55	49	6	46	43	3	2	0	2	0	0	0	1	0	1	43	43	0	39	37	2	1	0	1	0	0	0	1	0	1	37	37	0	7	6	1	1	0	1	0	0	0	0	0	0	6	6	0	1000	323	677
21	386	3034	406999	0	0	VILLAGE	Podapatana	Rural	116	490	256	234	58	27	31	74	39	35	0	0	0	374	213	161	116	43	73	178	156	22	150	135	15	30	30	0	33	32	1	4	3	1	83	70	13	28	21	7	7	7	0	11	11	0	6	1	5	4	2	2	3	3	0	1	1	0	0	0	0	1	1	0	1	1	0	25	18	7	6	6	0	11	11	0	5	0	5	3	1	2	312	100	212
