ward_no,centroid_lat,centroid_lon,zone,modis_lst_day_c,modis_lst_night_c,surface_air_gradient_c,uhi_anomaly_c,uhi_classification,sentinel2_ndvi,satellite_tree_cover_pct,nasa_solar_radiation_wm2,nasa_source
W9,20.326445,85.832477,North Zone,45.7,29.6,7.1,4.5,EXTREME_HOTSPOT,0.46,41.4,907.5,NASA_POWER_CERES_SATELLITE
W25,20.292178,85.808273,South-West Zone,46.2,29.8,7.6,5.0,EXTREME_HOTSPOT,0.331,26.6,907.5,NASA_POWER_CERES_SATELLITE
W51,20.268384,85.808827,South-West Zone,46.8,30.1,8.2,5.6,EXTREME_HOTSPOT,0.296,22.5,907.5,NASA_POWER_CERES_SATELLITE
W56,20.251533,85.842953,South-East Zone,47.5,30.3,8.9,6.3,EXTREME_HOTSPOT,0.214,13.1,907.5,NASA_POWER_CERES_SATELLITE
W6,20.344577,85.817428,North Zone,44.1,29.0,5.5,2.9,MODERATE_UHI,0.56,52.9,907.5,NASA_POWER_CERES_SATELLITE
W7,20.335079,85.806325,North Zone,44.6,29.2,6.0,3.4,MODERATE_UHI,0.532,49.7,907.5,NASA_POWER_CERES_SATELLITE
W13,20.318056,85.815429,North Zone,45.7,29.6,7.1,4.5,EXTREME_HOTSPOT,0.436,38.6,907.5,NASA_POWER_CERES_SATELLITE
W27,20.295501,85.818073,South-West Zone,46.5,30.0,7.9,5.3,EXTREME_HOTSPOT,0.31,24.1,907.5,NASA_POWER_CERES_SATELLITE
W12,20.309025,85.831258,North Zone,46.3,29.9,7.7,5.1,EXTREME_HOTSPOT,0.373,31.4,907.5,NASA_POWER_CERES_SATELLITE
W11,20.311138,85.845012,North Zone,46.2,29.8,7.6,5.0,EXTREME_HOTSPOT,0.391,33.5,907.5,NASA_POWER_CERES_SATELLITE
W17,20.303322,85.842736,North Zone,47.1,30.1,8.5,5.9,EXTREME_HOTSPOT,0.351,28.9,907.5,NASA_POWER_CERES_SATELLITE
W26,20.301539,85.816066,North Zone,46.7,30.0,8.1,5.5,EXTREME_HOTSPOT,0.36,29.9,907.5,NASA_POWER_CERES_SATELLITE
W21,20.303125,85.8091,North Zone,46.7,30.0,8.1,5.5,EXTREME_HOTSPOT,0.387,33.0,907.5,NASA_POWER_CERES_SATELLITE
W24,20.283073,85.789653,South-West Zone,45.6,29.6,7.0,4.4,EXTREME_HOTSPOT,0.397,34.2,907.5,NASA_POWER_CERES_SATELLITE
W16,20.305807,85.817456,North Zone,46.8,30.0,8.2,5.6,EXTREME_HOTSPOT,0.376,31.7,907.5,NASA_POWER_CERES_SATELLITE
W30,20.291522,85.848244,South-East Zone,47.2,30.2,8.6,6.0,EXTREME_HOTSPOT,0.22,13.8,907.5,NASA_POWER_CERES_SATELLITE
W34,20.282828,85.849206,South-East Zone,47.6,30.4,9.0,6.4,EXTREME_HOTSPOT,0.193,10.7,907.5,NASA_POWER_CERES_SATELLITE
W29,20.291913,85.837744,South-East Zone,47.8,30.4,9.2,6.6,EXTREME_HOTSPOT,0.199,11.4,907.5,NASA_POWER_CERES_SATELLITE
W35,20.280083,85.840464,South-East Zone,48.1,30.6,9.5,6.9,EXTREME_HOTSPOT,0.151,5.9,907.5,NASA_POWER_CERES_SATELLITE
W40,20.265053,85.834555,South-East Zone,48.5,30.7,9.9,7.3,EXTREME_HOTSPOT,0.137,4.3,907.5,NASA_POWER_CERES_SATELLITE
W28,20.289998,85.830012,South-East Zone,48.2,30.6,9.6,7.0,EXTREME_HOTSPOT,0.19,10.3,907.5,NASA_POWER_CERES_SATELLITE
W36,20.275163,85.830335,South-East Zone,48.9,30.8,10.3,7.7,EXTREME_HOTSPOT,0.122,4.0,907.5,NASA_POWER_CERES_SATELLITE
W46,20.266007,85.820188,South-West Zone,47.5,30.3,8.9,6.3,EXTREME_HOTSPOT,0.245,16.7,907.5,NASA_POWER_CERES_SATELLITE
W37,20.287877,85.822391,South-West Zone,46.9,30.1,8.3,5.7,EXTREME_HOTSPOT,0.266,19.1,907.5,NASA_POWER_CERES_SATELLITE
W38,20.284832,85.814776,South-West Zone,46.6,30.0,8.0,5.4,EXTREME_HOTSPOT,0.284,21.2,907.5,NASA_POWER_CERES_SATELLITE
W39,20.279819,85.82078,South-West Zone,46.9,30.1,8.3,5.7,EXTREME_HOTSPOT,0.245,16.7,907.5,NASA_POWER_CERES_SATELLITE
W63,20.257999,85.794896,South-West Zone,45.8,29.7,7.2,4.6,EXTREME_HOTSPOT,0.377,31.9,907.5,NASA_POWER_CERES_SATELLITE
W50,20.267757,85.803122,South-West Zone,46.3,29.9,7.7,5.1,EXTREME_HOTSPOT,0.325,25.9,907.5,NASA_POWER_CERES_SATELLITE
