city,timestamp,year,temperature_c,relative_humidity_pct,wind_speed_ms,solar_radiation_wm2,apparent_temp_c,surface_pressure_hpa,dew_point_c,data_source
Bhubaneswar,2022-04-01T00:00,2022,26.6,92,19.2,0.0,30.6,1002.6,25.1,ERA5_Reanalysis_ECMWF
Bhubaneswar,2022-04-01T01:00,2022,26.5,92,18.5,0.0,30.6,1001.8,25.1,ERA5_Reanalysis_ECMWF
Bhubaneswar,2022-04-01T02:00,2022,26.3,93,17.8,0.0,30.4,1001.3,25.0,ERA5_Reanalysis_ECMWF
Bhubaneswar,2022-04-01T03:00,2022,26.4,91,18.9,0.0,30.2,1001.1,24.9,ERA5_Reanalysis_ECMWF
Bhubaneswar,2022-04-01T04:00,2022,26.7,89,18.7,0.0,30.6,1001.4,24.8,ERA5_Reanalysis_ECMWF
Bhubaneswar,2022-04-01T05:00,2022,27.5,89,16.5,0.0,32.2,1002.0,25.5,ERA5_Reanalysis_ECMWF
Bhubaneswar,2022-04-01T06:00,2022,28.1,84,18.9,20.0,32.2,1003.1,25.2,ERA5_Reanalysis_ECMWF
Bhubaneswar,2022-04-01T07:00,2022,29.3,78,21.9,174.0,32.8,1003.9,25.0,ERA5_Reanalysis_ECMWF
Bhubaneswar,2022-04-01T08:00,2022,31.0,69,20.4,362.0,34.5,1004.6,24.6,ERA5_Reanalysis_ECMWF
Bhubaneswar,2022-04-01T09:00,2022,32.7,61,19.7,572.0,36.1,1005.0,24.2,ERA5_Reanalysis_ECMWF
Bhubaneswar,2022-04-01T10:00,2022,33.7,56,20.2,706.0,37.3,1004.7,23.7,ERA5_Reanalysis_ECMWF
Bhubaneswar,2022-04-01T11:00,2022,34.6,53,21.2,874.0,39.0,1003.9,23.7,ERA5_Reanalysis_ECMWF
Bhubaneswar,2022-04-01T12:00,2022,34.9,53,22.0,921.0,39.3,1002.7,23.7,ERA5_Reanalysis_ECMWF
Bhubaneswar,2022-04-01T13:00,2022,34.7,54,21.9,869.0,39.0,1001.6,24.0,ERA5_Reanalysis_ECMWF
Bhubaneswar,2022-04-01T14:00,2022,34.2,56,21.8,749.0,38.2,1000.7,24.2,ERA5_Reanalysis_ECMWF
Bhubaneswar,2022-04-01T15:00,2022,33.3,60,22.4,572.0,36.4,1000.4,24.3,ERA5_Reanalysis_ECMWF
Bhubaneswar,2022-04-01T16:00,2022,31.9,65,22.3,348.0,34.9,1000.1,24.4,ERA5_Reanalysis_ECMWF
Bhubaneswar,2022-04-01T17:00,2022,30.4,72,19.0,128.0,34.1,1000.7,24.7,ERA5_Reanalysis_ECMWF
Bhubaneswar,2022-04-01T18:00,2022,28.7,79,16.9,10.0,32.7,1001.2,24.7,ERA5_Reanalysis_ECMWF
Bhubaneswar,2022-04-01T19:00,2022,27.9,81,19.4,0.0,31.3,1001.8,24.3,ERA5_Reanalysis_ECMWF
Bhubaneswar,2022-04-01T20:00,2022,27.5,83,19.5,0.0,30.9,1002.7,24.3,ERA5_Reanalysis_ECMWF
Bhubaneswar,2022-04-01T21:00,2022,27.2,84,20.4,0.0,30.4,1003.4,24.2,ERA5_Reanalysis_ECMWF
Bhubaneswar,2022-04-01T22:00,2022,26.9,85,21.7,0.0,29.9,1003.6,24.1,ERA5_Reanalysis_ECMWF
Bhubaneswar,2022-04-01T23:00,2022,26.7,86,22.1,0.0,29.6,1003.5,24.2,ERA5_Reanalysis_ECMWF
Bhubaneswar,2022-04-02T00:00,2022,26.4,91,21.3,0.0,29.8,1003.2,24.7,ERA5_Reanalysis_ECMWF
Bhubaneswar,2022-04-02T01:00,2022,26.3,91,22.7,0.0,29.5,1002.7,24.7,ERA5_Reanalysis_ECMWF
Bhubaneswar,2022-04-02T02:00,2022,26.3,91,23.0,0.0,29.4,1002.1,24.7,ERA5_Reanalysis_ECMWF
Bhubaneswar,2022-04-02T03:00,2022,26.2,91,22.8,0.0,29.3,1001.9,24.6,ERA5_Reanalysis_ECMWF
Bhubaneswar,2022-04-02T04:00,2022,26.2,90,21.1,0.0,29.4,1002.1,24.4,ERA5_Reanalysis_ECMWF
Bhubaneswar,2022-04-02T05:00,2022,26.9,89,19.1,0.0,30.8,1003.0,25.0,ERA5_Reanalysis_ECMWF
Bhubaneswar,2022-04-02T06:00,2022,27.5,86,20.7,29.0,31.2,1004.0,24.9,ERA5_Reanalysis_ECMWF
Bhubaneswar,2022-04-02T07:00,2022,29.0,77,25.1,179.0,31.8,1005.1,24.6,ERA5_Reanalysis_ECMWF
Bhubaneswar,2022-04-02T08:00,2022,30.8,68,24.0,383.0,33.5,1005.7,24.2,ERA5_Reanalysis_ECMWF
Bhubaneswar,2022-04-02T09:00,2022,32.3,62,22.3,610.0,35.4,1005.9,24.1,ERA5_Reanalysis_ECMWF
