ward_no,date,population,wbgt_max,predicted_admissions,ImpactTier
W1,2026-08-28,12378,29.0,0.9,Green
W1,2026-08-29,12378,28.4,0.9,Green
W1,2026-08-30,12378,27.8,0.9,Green
W1,2026-08-31,12378,27.3,0.9,Green
W1,2026-09-01,12378,27.3,0.8,Green
W10,2026-08-28,13540,28.9,1.0,Yellow
W10,2026-08-29,13540,28.3,1.0,Yellow
W10,2026-08-30,13540,27.8,1.0,Green
W10,2026-08-31,13540,27.3,0.9,Green
W10,2026-09-01,13540,27.3,0.8,Green
W11,2026-08-28,11834,29.2,1.0,Green
W11,2026-08-29,11834,28.6,1.0,Yellow
W11,2026-08-30,11834,28.0,0.9,Green
W11,2026-08-31,11834,27.5,0.8,Green
W11,2026-09-01,11834,27.5,0.8,Green
W12,2026-08-28,13243,28.9,0.9,Green
W12,2026-08-29,13243,28.3,0.9,Green
W12,2026-08-30,13243,27.7,0.9,Green
W12,2026-08-31,13243,27.2,0.9,Green
W12,2026-09-01,13243,27.2,0.8,Green
W13,2026-08-28,13287,29.6,1.4,Yellow
W13,2026-08-29,13287,29.0,1.4,Yellow
W13,2026-08-30,13287,28.5,1.3,Yellow
W13,2026-08-31,13287,27.9,1.1,Yellow
W13,2026-09-01,13287,28.0,1.0,Yellow
W14,2026-08-28,13522,29.2,1.2,Yellow
W14,2026-08-29,13522,28.6,1.2,Yellow
W14,2026-08-30,13522,28.0,1.1,Yellow
W14,2026-08-31,13522,27.5,1.0,Yellow
W14,2026-09-01,13522,27.5,0.9,Green
W15,2026-08-28,11528,28.8,0.8,Green
W15,2026-08-29,11528,28.2,0.8,Green
W15,2026-08-30,11528,27.6,0.8,Green
W15,2026-08-31,11528,27.1,0.8,Green
W15,2026-09-01,11528,27.1,0.7,Green
W16,2026-08-28,11404,29.1,0.9,Green
W16,2026-08-29,11404,28.5,0.9,Green
W16,2026-08-30,11404,27.9,0.9,Green
W16,2026-08-31,11404,27.4,0.8,Green
W16,2026-09-01,11404,27.4,0.7,Green
W17,2026-08-28,12238,29.1,0.9,Green
W17,2026-08-29,12238,28.4,0.9,Green
W17,2026-08-30,12238,27.9,0.9,Green
W17,2026-08-31,12238,27.4,0.8,Green
W17,2026-09-01,12238,27.4,0.8,Green
W18,2026-08-28,13094,28.9,0.9,Green
W18,2026-08-29,13094,28.3,0.9,Green
W18,2026-08-30,13094,27.7,0.9,Green
W18,2026-08-31,13094,27.2,0.9,Green
W18,2026-09-01,13094,27.2,0.8,Green
W19,2026-08-28,14071,29.4,1.3,Yellow
W19,2026-08-29,14071,28.8,1.3,Yellow
W19,2026-08-30,14071,28.2,1.2,Yellow
W19,2026-08-31,14071,27.7,1.1,Yellow
W19,2026-09-01,14071,27.7,1.1,Yellow
W2,2026-08-28,13482,29.6,1.3,Yellow
W2,2026-08-29,13482,29.0,1.4,Yellow
W2,2026-08-30,13482,28.4,1.3,Yellow
W2,2026-08-31,13482,27.9,1.1,Yellow
W2,2026-09-01,13482,27.9,1.0,Yellow
W20,2026-08-28,11677,30.1,1.4,Yellow
W20,2026-08-29,11677,29.5,1.5,Yellow
W20,2026-08-30,11677,29.0,1.5,Yellow
W20,2026-08-31,11677,28.4,1.2,Yellow
W20,2026-09-01,11677,28.5,1.2,Yellow
W21,2026-08-28,11320,31.5,2.8,Yellow
W21,2026-08-29,11320,30.9,3.0,Orange
W21,2026-08-30,11320,30.3,2.8,Yellow
W21,2026-08-31,11320,29.8,2.5,Yellow
W21,2026-09-01,11320,29.8,2.1,Yellow
W22,2026-08-28,13568,29.0,1.1,Yellow
W22,2026-08-29,13568,28.4,1.1,Yellow
W22,2026-08-30,13568,27.9,1.0,Yellow
W22,2026-08-31,13568,27.3,1.0,Green
W22,2026-09-01,13568,27.4,0.9,Green
W23,2026-08-28,12240,28.8,0.8,Green
W23,2026-08-29,12240,28.2,0.8,Green
W23,2026-08-30,12240,27.6,0.8,Green
W23,2026-08-31,12240,27.1,0.8,Green
W23,2026-09-01,12240,27.1,0.7,Green
W24,2026-08-28,13636,29.1,1.1,Yellow
W24,2026-08-29,13636,28.5,1.1,Yellow
W24,2026-08-30,13636,27.9,1.1,Yellow
W24,2026-08-31,13636,27.4,1.0,Green
W24,2026-09-01,13636,27.4,0.9,Green
W25,2026-08-28,13508,29.3,1.2,Yellow
W25,2026-08-29,13508,28.7,1.2,Yellow
W25,2026-08-30,13508,28.1,1.1,Yellow
W25,2026-08-31,13508,27.6,1.0,Green
W25,2026-09-01,13508,27.6,1.0,Green
W26,2026-08-28,12167,31.1,2.3,Yellow
W26,2026-08-29,12167,30.5,2.5,Yellow
W26,2026-08-30,12167,29.9,2.4,Yellow
W26,2026-08-31,12167,29.4,2.0,Yellow
W26,2026-09-01,12167,29.4,1.8,Yellow
W27,2026-08-28,12039,29.5,1.2,Yellow
W27,2026-08-29,12039,28.9,1.2,Yellow
W27,2026-08-30,12039,28.4,1.1,Yellow
W27,2026-08-31,12039,27.9,0.9,Green
W27,2026-09-01,12039,27.9,0.9,Green
W28,2026-08-28,12230,29.3,1.1,Yellow
W28,2026-08-29,12230,28.7,1.1,Yellow
W28,2026-08-30,12230,28.1,1.0,Green
W28,2026-08-31,12230,27.6,0.9,Green
W28,2026-09-01,12230,27.6,0.8,Green
W29,2026-08-28,11518,29.3,1.1,Yellow
W29,2026-08-29,11518,28.7,1.1,Yellow
W29,2026-08-30,11518,28.1,1.0,Yellow
W29,2026-08-31,11518,27.6,0.9,Green
W29,2026-09-01,11518,27.6,0.9,Green
W3,2026-08-28,13110,28.9,0.9,Green
W3,2026-08-29,13110,28.2,0.9,Green
W3,2026-08-30,13110,27.7,0.9,Green
W3,2026-08-31,13110,27.2,0.8,Green
W3,2026-09-01,13110,27.2,0.7,Green
W30,2026-08-28,12220,29.2,1.0,Yellow
W30,2026-08-29,12220,28.6,1.0,Yellow
W30,2026-08-30,12220,28.1,1.0,Green
W30,2026-08-31,12220,27.5,0.9,Green
W30,2026-09-01,12220,27.6,0.8,Green
W31,2026-08-28,11633,29.2,1.0,Green
W31,2026-08-29,11633,28.6,1.0,Yellow
W31,2026-08-30,11633,28.1,0.9,Green
W31,2026-08-31,11633,27.5,0.8,Green
W31,2026-09-01,11633,27.5,0.8,Green
W32,2026-08-28,11280,29.0,0.9,Green
W32,2026-08-29,11280,28.4,0.9,Green
W32,2026-08-30,11280,27.8,0.8,Green
W32,2026-08-31,11280,27.3,0.8,Green
W32,2026-09-01,11280,27.3,0.7,Green
W33,2026-08-28,12453,29.4,1.2,Yellow
W33,2026-08-29,12453,28.8,1.1,Yellow
W33,2026-08-30,12453,28.3,1.1,Yellow
W33,2026-08-31,12453,27.7,0.9,Green
W33,2026-09-01,12453,27.8,0.9,Green
W34,2026-08-28,13013,29.4,1.2,Yellow
W34,2026-08-29,13013,28.8,1.2,Yellow
W34,2026-08-30,13013,28.2,1.1,Yellow
W34,2026-08-31,13013,27.7,1.0,Green
W34,2026-09-01,13013,27.7,0.9,Green
W35,2026-08-28,14130,29.3,1.3,Yellow
W35,2026-08-29,14130,28.7,1.4,Yellow
W35,2026-08-30,14130,28.1,1.2,Yellow
W35,2026-08-31,14130,27.6,1.1,Yellow
W35,2026-09-01,14130,27.6,1.1,Yellow
W36,2026-08-28,11509,29.0,0.9,Green
W36,2026-08-29,11509,28.4,0.9,Green
W36,2026-08-30,11509,27.8,0.8,Green
W36,2026-08-31,11509,27.3,0.8,Green
W36,2026-09-01,11509,27.3,0.7,Green
W37,2026-08-28,11679,29.3,1.0,Green
W37,2026-08-29,11679,28.6,1.0,Yellow
W37,2026-08-30,11679,28.1,0.9,Green
W37,2026-08-31,11679,27.6,0.8,Green
W37,2026-09-01,11679,27.6,0.8,Green
W38,2026-08-28,11916,29.7,1.3,Yellow
W38,2026-08-29,11916,29.1,1.3,Yellow
W38,2026-08-30,11916,28.5,1.3,Yellow
W38,2026-08-31,11916,28.0,1.0,Green
W38,2026-09-01,11916,28.0,0.9,Green
W39,2026-08-28,12716,29.4,1.2,Yellow
W39,2026-08-29,12716,28.8,1.2,Yellow
W39,2026-08-30,12716,28.2,1.1,Yellow
W39,2026-08-31,12716,27.7,0.9,Green
W39,2026-09-01,12716,27.7,0.9,Green
W4,2026-08-28,16185,28.8,1.2,Yellow
W4,2026-08-29,16185,28.2,1.2,Yellow
W4,2026-08-30,16185,27.6,1.1,Yellow
W4,2026-08-31,16185,27.1,1.1,Yellow
W4,2026-09-01,16185,27.1,1.0,Yellow
W40,2026-08-28,13179,29.1,1.1,Yellow
W40,2026-08-29,13179,28.5,1.0,Yellow
W40,2026-08-30,13179,27.9,1.0,Green
W40,2026-08-31,13179,27.4,0.9,Green
W40,2026-09-01,13179,27.4,0.8,Green
W41,2026-08-28,13525,29.4,1.3,Yellow
W41,2026-08-29,13525,28.8,1.3,Yellow
W41,2026-08-30,13525,28.2,1.1,Yellow
W41,2026-08-31,13525,27.7,1.0,Yellow
W41,2026-09-01,13525,27.7,1.0,Yellow
W42,2026-08-28,13272,29.5,1.3,Yellow
W42,2026-08-29,13272,28.9,1.3,Yellow
W42,2026-08-30,13272,28.3,1.2,Yellow
W42,2026-08-31,13272,27.8,1.0,Yellow
W42,2026-09-01,13272,27.8,1.0,Yellow
W43,2026-08-28,13773,29.7,1.4,Yellow
W43,2026-08-29,13773,29.1,1.5,Yellow
W43,2026-08-30,13773,28.5,1.3,Yellow
W43,2026-08-31,13773,28.0,1.2,Yellow
W43,2026-09-01,13773,28.0,1.1,Yellow
W44,2026-08-28,12091,28.9,0.8,Green
W44,2026-08-29,12091,28.2,0.8,Green
W44,2026-08-30,12091,27.7,0.8,Green
W44,2026-08-31,12091,27.2,0.8,Green
W44,2026-09-01,12091,27.2,0.7,Green
W45,2026-08-28,11376,29.7,1.2,Yellow
W45,2026-08-29,11376,29.1,1.2,Yellow
W45,2026-08-30,11376,28.6,1.2,Yellow
W45,2026-08-31,11376,28.0,1.0,Green
W45,2026-09-01,11376,28.1,1.0,Green
W46,2026-08-28,11804,29.2,1.0,Green
W46,2026-08-29,11804,28.6,1.0,Yellow
W46,2026-08-30,11804,28.0,0.9,Green
W46,2026-08-31,11804,27.5,0.8,Green
W46,2026-09-01,11804,27.5,0.8,Green
W47,2026-08-28,11638,29.2,1.0,Green
W47,2026-08-29,11638,28.6,1.0,Green
W47,2026-08-30,11638,28.1,0.9,Green
W47,2026-08-31,11638,27.5,0.8,Green
W47,2026-09-01,11638,27.6,0.8,Green
W48,2026-08-28,11369,29.3,1.0,Green
W48,2026-08-29,11369,28.7,1.0,Yellow
W48,2026-08-30,11369,28.1,1.0,Green
W48,2026-08-31,11369,27.6,0.8,Green
W48,2026-09-01,11369,27.6,0.8,Green
W49,2026-08-28,12605,28.9,0.9,Green
W49,2026-08-29,12605,28.3,0.9,Green
W49,2026-08-30,12605,27.7,0.9,Green
W49,2026-08-31,12605,27.2,0.8,Green
W49,2026-09-01,12605,27.2,0.8,Green
W5,2026-08-28,13637,28.8,0.9,Green
W5,2026-08-29,13637,28.2,0.9,Green
W5,2026-08-30,13637,27.6,0.9,Green
W5,2026-08-31,13637,27.1,0.9,Green
W5,2026-09-01,13637,27.1,0.8,Green
W50,2026-08-28,11795,29.0,0.9,Green
W50,2026-08-29,11795,28.4,0.9,Green
W50,2026-08-30,11795,27.8,0.8,Green
W50,2026-08-31,11795,27.3,0.8,Green
W50,2026-09-01,11795,27.3,0.7,Green
W51,2026-08-28,12138,29.2,1.0,Green
W51,2026-08-29,12138,28.5,1.0,Yellow
W51,2026-08-30,12138,28.0,0.9,Green
W51,2026-08-31,12138,27.5,0.8,Green
W51,2026-09-01,12138,27.5,0.7,Green
W52,2026-08-28,10805,28.9,0.8,Green
W52,2026-08-29,10805,28.2,0.8,Green
W52,2026-08-30,10805,27.7,0.7,Green
W52,2026-08-31,10805,27.2,0.7,Green
