ward_no,zone,population,centroid_lat,centroid_lon,timestamp,temperature_c,relative_humidity_pct,wind_speed_ms,solar_radiation_wm2,apparent_temp_c,uhi_offset_c,adjusted_temp_c,HI_celsius,WBGT_celsius,UTCI_celsius,WardRiskScore,RiskTier
W9,North Zone,13932,20.327133162303745,85.83049604840927,2026-08-28T00:00,26.9,95,9.0,0.0,32.9,0.16,27.1,32.2,26.6,,0.439,Yellow
W9,North Zone,13932,20.327133162303745,85.83049604840927,2026-08-28T01:00,26.9,95,10.7,0.0,32.7,0.16,27.1,32.2,26.6,,0.439,Yellow
W9,North Zone,13932,20.327133162303745,85.83049604840927,2026-08-28T02:00,26.9,93,12.0,0.0,32.3,0.16,27.1,31.8,26.4,,0.426,Yellow
W9,North Zone,13932,20.327133162303745,85.83049604840927,2026-08-28T03:00,26.5,92,12.4,0.0,31.5,0.16,26.7,29.9,25.9,,0.38,Yellow
W9,North Zone,13932,20.327133162303745,85.83049604840927,2026-08-28T04:00,26.3,91,11.4,0.0,31.1,0.16,26.5,29.3,25.6,,0.359,Yellow
W9,North Zone,13932,20.327133162303745,85.83049604840927,2026-08-28T05:00,26.3,90,11.1,0.0,31.0,0.16,26.5,29.2,25.5,,0.355,Yellow
W9,North Zone,13932,20.327133162303745,85.83049604840927,2026-08-28T06:00,26.9,88,11.1,42.0,31.7,0.16,27.1,30.9,25.9,,0.394,Yellow
W9,North Zone,13932,20.327133162303745,85.83049604840927,2026-08-28T07:00,28.3,82,13.0,212.0,33.1,0.16,28.5,33.7,26.8,,0.465,Yellow
W9,North Zone,13932,20.327133162303745,85.83049604840927,2026-08-28T08:00,29.5,77,16.0,416.0,33.9,0.16,29.7,35.9,27.4,,0.524,Orange
W9,North Zone,13932,20.327133162303745,85.83049604840927,2026-08-28T09:00,30.5,74,15.7,616.0,35.5,0.16,30.7,37.9,28.1,,0.579,Orange
W9,North Zone,13932,20.327133162303745,85.83049604840927,2026-08-28T10:00,31.3,73,13.5,708.0,37.5,0.16,31.5,39.9,28.8,,0.636,Orange
W9,North Zone,13932,20.327133162303745,85.83049604840927,2026-08-28T11:00,31.6,71,11.5,738.0,38.1,0.16,31.8,40.1,28.9,,0.643,Orange
W9,North Zone,13932,20.327133162303745,85.83049604840927,2026-08-28T12:00,28.8,85,13.5,469.0,34.3,0.16,29.0,35.7,27.6,,0.53,Orange
